epoch,train_loss,train_acc,val_loss,val_acc,val_f1_weighted
1,1.27255,0.5012,0.92962,0.6979,0.6837
2,0.65934,0.8254,0.74165,0.7812,0.7787
3,0.49972,0.9052,0.68994,0.7917,0.7928
4,0.40918,0.9426,0.75143,0.7604,0.7604
5,0.36119,0.9476,0.72846,0.8229,0.8226
6,0.31988,0.9825,0.66139,0.8125,0.81
7,0.29092,0.985,0.67379,0.8333,0.837
8,0.29549,0.9825,0.63007,0.875,0.8777
9,0.28389,0.985,0.58005,0.8854,0.8866
10,0.2695,0.9875,0.64552,0.875,0.8759
11,0.26779,0.9925,0.63343,0.875,0.8766
12,0.26977,0.9825,0.62436,0.8646,0.8657
13,0.25562,0.99,0.61948,0.8646,0.8648
14,0.25418,0.9925,0.61689,0.875,0.8766
15,0.26438,0.9875,0.59769,0.875,0.8766
