epoch,train_loss,train_acc,val_loss,val_acc,val_f1_weighted
1,1.29699,0.4663,1.25704,0.5417,0.5145
2,0.8177,0.7531,1.26065,0.5833,0.5605
3,0.58297,0.8529,1.07087,0.6458,0.6341
4,0.43616,0.9302,0.97481,0.6979,0.6986
5,0.35836,0.9701,0.97536,0.6458,0.6496
6,0.35031,0.9626,0.88636,0.6979,0.6939
7,0.31366,0.985,0.87251,0.75,0.745
8,0.30509,0.985,0.87742,0.7292,0.7199
9,0.2966,0.9875,0.8013,0.7604,0.7574
10,0.27928,0.9875,0.79475,0.7396,0.7339
11,0.27069,0.995,0.75882,0.7604,0.7598
12,0.27485,0.995,0.75785,0.7812,0.7788
13,0.27624,0.9875,0.76034,0.7708,0.7684
14,0.2669,0.995,0.75481,0.7812,0.7808
15,0.27106,0.9925,0.74925,0.7812,0.7808
