epoch,train_loss,train_acc,val_loss,val_acc,val_f1_weighted
1,1.25525,0.5586,5.7217,0.3021,0.2488
2,1.03247,0.6908,1.53288,0.5417,0.5203
3,0.69127,0.803,2.03182,0.4792,0.4729
4,0.57103,0.8678,1.24552,0.6458,0.6295
5,0.4842,0.9052,1.16456,0.6458,0.6432
6,0.40242,0.9377,1.16007,0.6562,0.6399
7,0.37484,0.9576,1.04851,0.625,0.6241
8,0.347,0.9776,0.93582,0.6979,0.7035
9,0.31936,0.9776,0.87443,0.7188,0.7176
10,0.28751,0.99,0.88772,0.7292,0.7287
11,0.29847,0.99,0.85368,0.7604,0.7615
12,0.28842,0.9825,0.8661,0.7396,0.7395
13,0.27471,0.9925,0.85123,0.7708,0.7699
14,0.27807,0.99,0.84863,0.7708,0.7699
15,0.27384,0.9975,0.85415,0.7708,0.7699
