image_id,source_dataset,split,class_name,label_id,original_relative_path,raw_path,original_filename,new_filename,width,height,channels,image_mode,image_format,aspect_ratio,pixel_count,exif_tag_count,file_size_bytes,md5,ingestion_timestamp
train_livingroom_000001,mit_indoor,train,livingroom,4,livingroom/living58.jpg,data/raw/mit_indoor_subset/train/livingroom/livingroom_000001.jpg,living58.jpg,livingroom_000001.jpg,1024,768,3,RGB,JPEG,1.3333,786432,0,778747,844857084522a41366ab763b856b91b1,2026-05-29T15:18:44.033816
train_bathroom_000001,mit_indoor,train,bathroom,0,bathroom/itoiletpaper.jpg,data/raw/mit_indoor_subset/train/bathroom/bathroom_000001.jpg,itoiletpaper.jpg,bathroom_000001.jpg,256,256,3,RGB,JPEG,1.0,65536,0,65851,c7a5a557cb9117410d60014918a9d4d1,2026-05-29T15:18:44.036028
train_diningroom_000001,mit_indoor,train,diningroom,2,diningroom/d5.jpg,data/raw/mit_indoor_subset/train/diningroom/diningroom_000001.jpg,d5.jpg,diningroom_000001.jpg,256,256,3,RGB,JPEG,1.0,65536,11,79667,77b7175d631ea2bbd58d90626acfec9d,2026-05-29T15:18:44.043194
train_bedroom_000001,mit_indoor,train,bedroom,1,bedroom/indoor_0194.jpg,data/raw/mit_indoor_subset/train/bedroom/bedroom_000001.jpg,indoor_0194.jpg,bedroom_000001.jpg,300,225,3,RGB,JPEG,1.3333,67500,0,22338,3411d7f034c3cbe69ec3f6fcfcd1c96c,2026-05-29T15:18:44.044593
train_bathroom_000002,mit_indoor,train,bathroom,0,bathroom/indoor_0404.jpg,data/raw/mit_indoor_subset/train/bathroom/bathroom_000002.jpg,indoor_0404.jpg,bathroom_000002.jpg,340,512,3,RGB,JPEG,0.6641,174080,0,94912,78f0b1a7cfe1bdae85a4462e48728eb0,2026-05-29T15:18:44.047474
train_bathroom_000003,mit_indoor,train,bathroom,0,bathroom/indoor_0323.jpg,data/raw/mit_indoor_subset/train/bathroom/bathroom_000003.jpg,indoor_0323.jpg,bathroom_000003.jpg,512,340,3,RGB,JPEG,1.5059,174080,0,105332,b745bae89973cab1b79bf258646776bb,2026-05-29T15:18:44.050276
train_bedroom_000002,mit_indoor,train,bedroom,1,bedroom/hunter_room.jpg,data/raw/mit_indoor_subset/train/bedroom/bedroom_000002.jpg,hunter_room.jpg,bedroom_000002.jpg,256,256,3,RGB,JPEG,1.0,65536,0,56385,d6b071d9bff53ed8f31ee18fc1e18ed3,2026-05-29T15:18:44.052066
train_diningroom_000002,mit_indoor,train,diningroom,2,diningroom/yellow_dining_room.jpg,data/raw/mit_indoor_subset/train/diningroom/diningroom_000002.jpg,yellow_dining_room.jpg,diningroom_000002.jpg,256,256,3,RGB,JPEG,1.0,65536,0,72028,04b67dcde4087775722754f7284e93bc,2026-05-29T15:18:44.054109
train_diningroom_000003,mit_indoor,train,diningroom,2,diningroom/kitchen052.jpg,data/raw/mit_indoor_subset/train/diningroom/diningroom_000003.jpg,kitchen052.jpg,diningroom_000003.jpg,256,256,3,RGB,JPEG,1.0,65536,0,76017,e7ebaab872f4f4f873b5eba55d046207,2026-05-29T15:18:44.056087
train_bathroom_000004,mit_indoor,train,bathroom,0,bathroom/b11.jpg,data/raw/mit_indoor_subset/train/bathroom/bathroom_000004.jpg,b11.jpg,bathroom_000004.jpg,256,256,3,RGB,JPEG,1.0,65536,7,57659,d6ca0f6a54769530bf5a7d34c7406866,2026-05-29T15:18:44.057828
